	
Models          
Example     RTSP        URL     Audio       
Axis        206         http://http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        206         http://http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        206         http://http://IPADDRESS/mjpg/video.mjpg	No
Axis        206         http://http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        206         http://http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        206         http://rtsp://IPADDRESS:554/mpeg4	Yes
Axis        206         http://rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        206         http://rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        206 rev2	http://IPADDRESS/mjpg/video.mjpg	No
Axis        206 rev2	http://IPADDRESS:554/mjpg/video.mjpg	No
Axis        206m	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        206M	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        206M	http://IPADDRESS/jpg/image.jpg	No
Axis        206M	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        206M	http://IPADDRESS/mjpg/video.mjpg	No
Axis        206M	http://IPADDRESS/mjpg/video.mjpg	No
Axis        206M	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        206M	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        206M	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        206W	http://IPADDRESS/jpg/image.jpg	No
Axis        206W	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        206W	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        206W	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        207	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        207	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207	http://IPADDRESS/jpg/image.jpg	No
Axis        207	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        207	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        207	http://IPADDRESS:554/mjpg/video.mjpg	No
Axis        207	http://IPADDRESS/mjpg/video.mjpg	No
Axis        207	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        207	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        207	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        207	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        207-202	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207-204	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207-207	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207mine	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        207MW	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207MW	http://IPADDRESS/jpg/image.jpg	No
Axis        207MW	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        207MW	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207MW	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        207MW	http://IPADDRESS/mjpg/video.mjpg	No
Axis        207MW	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        207MW	http://IPADDRESS:554/mjpg/video.mjpg	No
Axis        207MW	http://IPADDRESS:554/mjpg/video.mjpg	No
Axis        207MW	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        207MW	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        207w	http://IPADDRESS/mjpg/video.mjpg	No
Axis        207W	http://IPADDRESS:554/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        207W	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        207W	http://IPADDRESS:554/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        207W	http://IPADDRESS/jpg/image.jpg	No
Axis        207W	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        207W	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        207W	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        207W	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        209	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        209	http://IPADDRESS:554/mjpg/video.mjpg	No
Axis        209 MFD	http://IPADDRESS/mjpg/video.mjpg	No
Axis        209fd	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        209fd	http://IPADDRESS/mjpg/video.mjpg	No
Axis        209fd	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        209FD	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        209FD	http://IPADDRESS/jpg/image.jpg	No
Axis        209FD	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        209fd-r	http://IPADDRESS/jpg/image.jpg	No
Axis        209mfd	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        209mfd	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        209MFD	http://IPADDRESS/mjpg/video.mjpg	No
Axis        209MFD	http://IPADDRESS/mjpg/video.mjpg	No
Axis        209MFD	http://IPADDRESS:554/axis-cgi/mjpg/video.cgi	No
Axis        209MFD	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        210	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        210	http://IPADDRESS//cgi-bin/viewer/video.jpg?resolution=[WIDTH]x[HEIGHT]	No
Axis        210	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        210	http://IPADDRESS/jpg/image.jpg	No
Axis        210	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        210	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        210	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        210	http://IPADDRESS/mjpg/video.mjpg	No
Axis        210	http://IPADDRESS/mjpg/video.mjpg	No
Axis        210	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        210	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        210	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        2100	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2100	http://IPADDRESS/jpg/1/image.jpg	No
Axis        2100	http://IPADDRESS/cgi-bin/jpg/image.cgi	No
Axis        2100	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        2100	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        2100	http://IPADDRESS/cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT	No
Axis        2100	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        2100	http://IPADDRESS/fullsize.jpg?camera=1	No
Axis        2100	http://IPADDRESS/fullsize.jpg?camera=[CHANNEL]	No
Axis        2100	http://IPADDRESS/jpg/image.jpg	No
Axis        2100	http://IPADDRESS/cgi-bin/image640x480.jpg	No
Axis        2100	http://IPADDRESS/cgi-bin/image320x240.jpg	No
Axis        2100	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        2100	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        2100	http://IPADDRESS/mjpg/video.mjpg	No
Axis        2100	http://IPADDRESS/cgi-bin/fullsize.jpg?camera=[CHANNEL]&clock=on&motion=0	No
Axis        2100	http://IPADDRESS/cgi-bin/hugesize.jpg?camera=[CHANNEL]&clock=on&motion=0	No
Axis        2100	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        2100	http://IPADDRESS/mjpg/video.mjpg	No
Axis        2100	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2100	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        2100	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        2100	http://IPADDRESS//control/faststream.jpg?stream=MxPEG&needlength&fps=6	Yes
Axis        2100	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        2100	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        2100 H	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        210A	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        210A	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        210A	http://IPADDRESS/jpg/image.jpg	No
Axis        210A	http://IPADDRESS/mjpg/video.mjpg	No
Axis        210A	http://IPADDRESS/mjpg/video.mjpg	No
Axis        210A	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        210A	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        211	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        211	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        211	http://IPADDRESS/jpg/image.jpg	No
Axis        211	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        211	http://IPADDRESS/cgi-bin/image640x480.jpg	No
Axis        211	http://IPADDRESS/jpg/image.jpg	No
Axis        211	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        211	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        211	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        211	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        211	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        211	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        211	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        211	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        211	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        211	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        2110	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2110	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        2110	http://IPADDRESS/jpg/image.jpg	No
Axis        2110	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        2110	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        2110	http://IPADDRESS/mjpg/video.mjpg	No
Axis        2110	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        2113	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        211a	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        211A	http://IPADDRESS/jpg/image.jpg	No
Axis        211A	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211-LSO	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211m	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        211m	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211m	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211m	http://IPADDRESS/mjpg/video.mjpg	No
Axis        211M	http://IPADDRESS:554/axis-cgi/mjpg/video.cgi	No
Axis        211M	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        211W	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        211W	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        212	http://IPADDRESS/jpg/image.jpg	No
Axis        212	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        212 PTZ	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        212 PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        212 PTZ	http://IPADDRESS/SnapshotJPEG?Resolution=320×240	No
Axis        212 PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        212 PTZ	http://IPADDRESS/jpg/image.jpg	No
Axis        212 PTZ	http://IPADDRESS/mjpg/video.mjpg	No
Axis        212 PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        212 PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        212 PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        212 PTZ	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        212 PTZ	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        212 PTZ	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        212 PTZ	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        2120	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        2120	http://IPADDRESS/cgi-bin/jpg/image.cgi	No
Axis        2120	http://IPADDRESS/jpg/image.jpg	No
Axis        2120	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        2120	http://IPADDRESS/mjpg/video.mjpg	No
Axis        2120	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        2120	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        2120	http://IPADDRESS/mjpg/video.mjpg	No
Axis        2120	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        213	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        213 PTZ	http://IPADDRESS:554/jpg/image.jpg	No
Axis        213 PTZ	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        213 PTZ	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        213 PTZ	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        2130	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        2130	http://IPADDRESS/jpg/image.jpg	No
Axis        2130	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        2130	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        2130	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        2130 PTZ	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        2130R ptz	http://IPADDRESS/jpg/1/image.jpg	No
Axis        2130R ptz	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        2130R ptz	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        2130R ptz	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        213ptz	http://IPADDRESS/jpg/image.jpg	No
Axis        213ptz	http://IPADDRESS:554/mjpg/1/video.mjpg	No
Axis        213ptz	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        213PTZ	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        213PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        213PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        213PTZ	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        213PTZ	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        214	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        214	http://IPADDRESS/jpg/image.jpg	No
Axis        214	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        214ptz	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        214ptz	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        214ptz	http://IPADDRESS/jpg/image.jpg	No
Axis        214ptz	http://IPADDRESS:554/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        214ptz	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        214ptz	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        214ptz	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        214ptz	http://IPADDRESS/mjpg/video.mjpg	No
Axis        215	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        215	http://IPADDRESS/mjpg/video.mjpg	No
Axis        215 PTZ	http://IPADDRESS/snapshot.cgi	No
Axis        215 PTZ	http://IPADDRESS/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]	No
Axis        215 PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        215 PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        215 PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        215 PTZ	http://IPADDRESS/mjpg/1/video.mjpg	No
Axis        215 PTZ	http://IPADDRESS/mjpg/video.mjpg	No
Axis        215 PTZ	http://IPADDRESS:554/axis-cgi/mjpg/video.cgi	No
Axis        215 PTZ	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        215 PTZ	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        215ptz	http://IPADDRESS/jpg/image.jpg	No
Axis        215PTZ	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        215PTZ	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        215PTZ	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        216 FD	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        216 FD	http://IPADDRESS/SnapshotJPEG?Resolution=320×240	No
Axis        216 FD	http://IPADDRESS/jpg/image.jpg	No
Axis        216 FD	http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        216 FD	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        216 MFD	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        216 MFD	http://IPADDRESS/jpg/image.jpg	No
Axis        216 MFD	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        216 MFD	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        216 MFD	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        216FD	http://IPADDRESS:554/axis-cgi/mjpg/video.cgi	No
Axis        216FD	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        221	http://IPADDRESS:554/jpg/image.jpg?size=3	No
Axis        221	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        221	http://IPADDRESS/jpg/image.jpg	No
Axis        221	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        221	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        221	http://IPADDRESS/mjpg/video.mjpg	No
Axis        221	http://IPADDRESS:554/mjpg/1/video.mjpg	No
Axis        221	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        221	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        223m	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        223m	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        223M	http://IPADDRESS/mjpg/video.mjpg	No
Axis        223M	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        225	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        225 FD	http://IPADDRESS:554/axis-cgi/mjpg/video.cgi	No
Axis        225fd	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        225fd	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        225FD	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        225FD	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        225FD	http://IPADDRESS/mjpg/video.mjpg	No
Axis        225FD	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        225FD	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        232D	http://IPADDRESS/jpg/image.jpg	No
Axis        232D	http://IPADDRESS:554/mjpg/1/video.mjpg	No
Axis        233D	http://IPADDRESS/jpg/image.jpg	No
Axis        233D	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        240	http://IPADDRESS/fullsize.jpg?camera=1	No
Axis        240	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        240	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        240	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2400	http://IPADDRESS/cgi-bin/hugesize.jpg?camera=[CHANNEL]&clock=on	No
Axis        2400	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2400	http://IPADDRESS/jpg/image.jpg	No
Axis        2400	http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        2400	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        2400	http://IPADDRESS/cgi-bin/fullsize.jpg?camera=[CHANNEL]&clock=on&motion=0	No
Axis        2400 Server Series	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
